Id,Antal arter,Antal observationer,Centre coordinate X (SWEREF99_TM),Centre coordinate Y (SWEREF99_TM),Centre coordinate X (GoogleMercator),Centre coordinate Y (GoogleMercator),Grid cell width (metres)
SRID3006SIZE10000E195000N6025000,0,0,195000,6025000,1148113.835,7223686.762,10000
SRID3006SIZE10000E195000N6035000,0,0,195000,6035000,1146976.566,7240785.186,10000
SRID3006SIZE10000E195000N6045000,0,0,195000,6045000,1145833.055,7257920.44,10000
SRID3006SIZE10000E195000N6055000,0,0,195000,6055000,1144683.257,7275092.726,10000
SRID3006SIZE10000E195000N6065000,0,0,195000,6065000,1143527.124,7292302.244,10000
SRID3006SIZE10000E195000N6075000,0,0,195000,6075000,1142364.608,7309549.198,10000
SRID3006SIZE10000E195000N6085000,0,0,195000,6085000,1141195.663,7326833.794,10000
SRID3006SIZE10000E195000N6095000,0,0,195000,6095000,1140020.239,7344156.237,10000
SRID3006SIZE10000E195000N6105000,0,0,195000,6105000,1138838.289,7361516.736,10000
SRID3006SIZE10000E195000N6115000,0,0,195000,6115000,1137649.761,7378915.5,10000
SRID3006SIZE10000E195000N6125000,0,0,195000,6125000,1136454.607,7396352.74,10000
SRID3006SIZE10000E195000N6135000,0,0,195000,6135000,1135252.777,7413828.67,10000
SRID3006SIZE10000E195000N6145000,0,0,195000,6145000,1134044.219,7431343.502,10000
SRID3006SIZE10000E195000N6155000,0,0,195000,6155000,1132828.882,7448897.454,10000
SRID3006SIZE10000E195000N6165000,0,0,195000,6165000,1131606.714,7466490.743,10000
SRID3006SIZE10000E195000N6175000,0,0,195000,6175000,1130377.663,7484123.587,10000
SRID3006SIZE10000E195000N6185000,0,0,195000,6185000,1129141.675,7501796.208,10000
SRID3006SIZE10000E195000N6195000,0,0,195000,6195000,1127898.697,7519508.827,10000
SRID3006SIZE10000E195000N6205000,0,0,195000,6205000,1126648.675,7537261.67,10000
SRID3006SIZE10000E195000N6215000,0,0,195000,6215000,1125391.554,7555054.962,10000
SRID3006SIZE10000E195000N6225000,0,0,195000,6225000,1124127.279,7572888.931,10000
SRID3006SIZE10000E195000N6235000,0,0,195000,6235000,1122855.794,7590763.806,10000
SRID3006SIZE10000E195000N6245000,0,0,195000,6245000,1121577.042,7608679.817,10000
SRID3006SIZE10000E195000N6255000,0,0,195000,6255000,1120290.967,7626637.199,10000
SRID3006SIZE10000E195000N6265000,0,0,195000,6265000,1118997.511,7644636.185,10000
SRID3006SIZE10000E195000N6275000,0,0,195000,6275000,1117696.615,7662677.012,10000
SRID3006SIZE10000E195000N6285000,0,0,195000,6285000,1116388.221,7680759.919,10000
SRID3006SIZE10000E195000N6295000,0,0,195000,6295000,1115072.268,7698885.146,10000
SRID3006SIZE10000E195000N6305000,0,0,195000,6305000,1113748.698,7717052.934,10000
SRID3006SIZE10000E195000N6315000,0,0,195000,6315000,1112417.449,7735263.527,10000
SRID3006SIZE10000E195000N6325000,0,0,195000,6325000,1111078.459,7753517.172,10000
SRID3006SIZE10000E195000N6335000,0,0,195000,6335000,1109731.667,7771814.117,10000
SRID3006SIZE10000E195000N6345000,0,0,195000,6345000,1108377.009,7790154.61,10000
SRID3006SIZE10000E195000N6355000,0,0,195000,6355000,1107014.423,7808538.905,10000
SRID3006SIZE10000E195000N6365000,0,0,195000,6365000,1105643.843,7826967.253,10000
SRID3006SIZE10000E195000N6375000,0,0,195000,6375000,1104265.205,7845439.912,10000
SRID3006SIZE10000E195000N6385000,0,0,195000,6385000,1102878.444,7863957.14,10000
SRID3006SIZE10000E195000N6395000,0,0,195000,6395000,1101483.492,7882519.195,10000
SRID3006SIZE10000E195000N6405000,0,0,195000,6405000,1100080.284,7901126.339,10000
SRID3006SIZE10000E195000N6415000,0,0,195000,6415000,1098668.751,7919778.838,10000
SRID3006SIZE10000E195000N6425000,0,0,195000,6425000,1097248.824,7938476.957,10000
SRID3006SIZE10000E195000N6435000,0,0,195000,6435000,1095820.434,7957220.964,10000
SRID3006SIZE10000E195000N6445000,0,0,195000,6445000,1094383.512,7976011.13,10000
SRID3006SIZE10000E195000N6455000,0,0,195000,6455000,1092937.986,7994847.727,10000
SRID3006SIZE10000E195000N6465000,0,0,195000,6465000,1091483.784,8013731.031,10000
SRID3006SIZE10000E195000N6475000,0,0,195000,6475000,1090020.835,8032661.318,10000
SRID3006SIZE10000E195000N6485000,0,0,195000,6485000,1088549.064,8051638.869,10000
SRID3006SIZE10000E195000N6495000,0,0,195000,6495000,1087068.398,8070663.964,10000
SRID3006SIZE10000E195000N6505000,0,0,195000,6505000,1085578.761,8089736.889,10000
SRID3006SIZE10000E195000N6515000,0,0,195000,6515000,1084080.079,8108857.928,10000
SRID3006SIZE10000E195000N6525000,0,0,195000,6525000,1082572.273,8128027.372,10000
SRID3006SIZE10000E195000N6535000,0,0,195000,6535000,1081055.267,8147245.51,10000
SRID3006SIZE10000E195000N6545000,0,0,195000,6545000,1079528.982,8166512.638,10000
SRID3006SIZE10000E195000N6555000,0,0,195000,6555000,1077993.339,8185829.05,10000
SRID3006SIZE10000E195000N6565000,0,0,195000,6565000,1076448.257,8205195.046,10000
SRID3006SIZE10000E195000N6575000,0,0,195000,6575000,1074893.655,8224610.926,10000
SRID3006SIZE10000E195000N6585000,0,0,195000,6585000,1073329.452,8244076.994,10000
SRID3006SIZE10000E195000N6595000,0,0,195000,6595000,1071755.563,8263593.557,10000
SRID3006SIZE10000E195000N6605000,0,0,195000,6605000,1070171.906,8283160.922,10000
SRID3006SIZE10000E195000N6615000,0,0,195000,6615000,1068578.394,8302779.402,10000
SRID3006SIZE10000E195000N6625000,0,0,195000,6625000,1066974.942,8322449.31,10000
SRID3006SIZE10000E195000N6635000,0,0,195000,6635000,1065361.463,8342170.963,10000
SRID3006SIZE10000E195000N6645000,0,0,195000,6645000,1063737.868,8361944.681,10000
SRID3006SIZE10000E195000N6655000,0,0,195000,6655000,1062104.069,8381770.785,10000
SRID3006SIZE10000E195000N6665000,0,0,195000,6665000,1060459.975,8401649.601,10000
SRID3006SIZE10000E195000N6675000,0,0,195000,6675000,1058805.495,8421581.456,10000
SRID3006SIZE10000E195000N6685000,0,0,195000,6685000,1057140.537,8441566.682,10000
SRID3006SIZE10000E195000N6695000,0,0,195000,6695000,1055465.007,8461605.611,10000
SRID3006SIZE10000E195000N6705000,0,0,195000,6705000,1053778.811,8481698.579,10000
SRID3006SIZE10000E195000N6715000,0,0,195000,6715000,1052081.853,8501845.928,10000
SRID3006SIZE10000E195000N6725000,0,0,195000,6725000,1050374.035,8522047.997,10000
SRID3006SIZE10000E195000N6735000,0,0,195000,6735000,1048655.261,8542305.134,10000
SRID3006SIZE10000E195000N6745000,0,0,195000,6745000,1046925.43,8562617.685,10000
SRID3006SIZE10000E195000N6755000,0,0,195000,6755000,1045184.443,8582986.004,10000
SRID3006SIZE10000E195000N6765000,0,0,195000,6765000,1043432.198,8603410.444,10000
SRID3006SIZE10000E195000N6775000,0,0,195000,6775000,1041668.591,8623891.363,10000
SRID3006SIZE10000E195000N6785000,0,0,195000,6785000,1039893.518,8644429.122,10000
SRID3006SIZE10000E195000N6795000,0,0,195000,6795000,1038106.875,8665024.085,10000
SRID3006SIZE10000E195000N6805000,0,0,195000,6805000,1036308.553,8685676.619,10000
SRID3006SIZE10000E195000N6815000,0,0,195000,6815000,1034498.446,8706387.096,10000
SRID3006SIZE10000E195000N6825000,0,0,195000,6825000,1032676.444,8727155.89,10000
SRID3006SIZE10000E195000N6835000,0,0,195000,6835000,1030842.436,8747983.377,10000
SRID3006SIZE10000E195000N6845000,0,0,195000,6845000,1028996.309,8768869.94,10000
SRID3006SIZE10000E195000N6855000,0,0,195000,6855000,1027137.951,8789815.961,10000
SRID3006SIZE10000E195000N6865000,0,0,195000,6865000,1025267.245,8810821.83,10000
SRID3006SIZE10000E195000N6875000,0,0,195000,6875000,1023384.076,8831887.938,10000
SRID3006SIZE10000E195000N6885000,0,0,195000,6885000,1021488.326,8853014.679,10000
SRID3006SIZE10000E195000N6895000,0,0,195000,6895000,1019579.875,8874202.453,10000
SRID3006SIZE10000E195000N6905000,0,0,195000,6905000,1017658.602,8895451.662,10000
SRID3006SIZE10000E195000N6915000,0,0,195000,6915000,1015724.385,8916762.712,10000
SRID3006SIZE10000E195000N6925000,0,0,195000,6925000,1013777.099,8938136.012,10000
SRID3006SIZE10000E195000N6935000,0,0,195000,6935000,1011816.619,8959571.978,10000
SRID3006SIZE10000E195000N6945000,0,0,195000,6945000,1009842.817,8981071.026,10000
SRID3006SIZE10000E195000N6955000,0,0,195000,6955000,1007855.565,9002633.578,10000
SRID3006SIZE10000E195000N6965000,0,0,195000,6965000,1005854.732,9024260.059,10000
SRID3006SIZE10000E195000N6975000,0,0,195000,6975000,1003840.186,9045950.9,10000
SRID3006SIZE10000E195000N6985000,0,0,195000,6985000,1001811.792,9067706.533,10000
SRID3006SIZE10000E195000N6995000,0,0,195000,6995000,999769.4146,9089527.397,10000
SRID3006SIZE10000E195000N7005000,0,0,195000,7005000,997712.9161,9111413.933,10000
SRID3006SIZE10000E195000N7015000,0,0,195000,7015000,995642.1573,9133366.588,10000
SRID3006SIZE10000E195000N7025000,0,0,195000,7025000,993556.9967,9155385.812,10000
SRID3006SIZE10000E195000N7035000,0,0,195000,7035000,991457.2911,9177472.06,10000
SRID3006SIZE10000E195000N7045000,0,0,195000,7045000,989342.8956,9199625.791,10000
SRID3006SIZE10000E195000N7055000,0,0,195000,7055000,987213.6632,9221847.468,10000
SRID3006SIZE10000E195000N7065000,0,0,195000,7065000,985069.4447,9244137.561,10000
SRID3006SIZE10000E195000N7075000,0,0,195000,7075000,982910.0892,9266496.542,10000
SRID3006SIZE10000E195000N7085000,0,0,195000,7085000,980735.4438,9288924.887,10000
SRID3006SIZE10000E195000N7095000,0,0,195000,7095000,978545.3533,9311423.08,10000
SRID3006SIZE10000E195000N7105000,0,0,195000,7105000,976339.6604,9333991.606,10000
SRID3006SIZE10000E195000N7115000,0,0,195000,7115000,974118.2059,9356630.959,10000
SRID3006SIZE10000E195000N7125000,0,0,195000,7125000,971880.8282,9379341.633,10000
SRID3006SIZE10000E195000N7135000,0,0,195000,7135000,969627.3635,9402124.13,10000
SRID3006SIZE10000E195000N7145000,0,0,195000,7145000,967357.6459,9424978.958,10000
SRID3006SIZE10000E195000N7155000,0,0,195000,7155000,965071.507,9447906.626,10000
SRID3006SIZE10000E195000N7165000,0,0,195000,7165000,962768.7763,9470907.653,10000
SRID3006SIZE10000E195000N7175000,0,0,195000,7175000,960449.2806,9493982.56,10000
SRID3006SIZE10000E195000N7185000,0,0,195000,7185000,958112.8446,9517131.874,10000
SRID3006SIZE10000E195000N7195000,0,0,195000,7195000,955759.2903,9540356.127,10000
SRID3006SIZE10000E195000N7205000,0,0,195000,7205000,953388.4375,9563655.857,10000
SRID3006SIZE10000E195000N7215000,0,0,195000,7215000,951000.1032,9587031.608,10000
SRID3006SIZE10000E195000N7225000,0,0,195000,7225000,948594.1018,9610483.929,10000
SRID3006SIZE10000E195000N7235000,0,0,195000,7235000,946170.2452,9634013.373,10000
SRID3006SIZE10000E195000N7245000,0,0,195000,7245000,943728.3425,9657620.503,10000
SRID3006SIZE10000E195000N7255000,0,0,195000,7255000,941268.2003,9681305.882,10000
SRID3006SIZE10000E195000N7265000,0,0,195000,7265000,938789.6222,9705070.085,10000
SRID3006SIZE10000E195000N7275000,0,0,195000,7275000,936292.4089,9728913.687,10000
SRID3006SIZE10000E195000N7285000,0,0,195000,7285000,933776.3585,9752837.274,10000
SRID3006SIZE10000E195000N7295000,0,0,195000,7295000,931241.266,9776841.436,10000
SRID3006SIZE10000E195000N7305000,0,0,195000,7305000,928686.9234,9800926.768,10000
SRID3006SIZE10000E195000N7315000,0,0,195000,7315000,926113.1197,9825093.873,10000
